"Portrait file name","Class","Race (in-game)","Racial base","Gender"
"dragonborn_female_barbarian_varied_001.png","Barbarian","Dragonborn","Fantasy species variation","Female"
"dragonborn_female_bard_varied_001.png","Bard","Dragonborn","Fantasy species variation","Female"
"dragonborn_female_cleric_varied_001.png","Cleric","Dragonborn","Fantasy species variation","Female"
"dragonborn_female_druid_varied_001.png","Druid","Dragonborn","Fantasy species variation","Female"
"dragonborn_female_fighter_varied_001.png","Fighter","Dragonborn","Fantasy species variation","Female"
"dragonborn_female_monk_varied_001.png","Monk","Dragonborn","Fantasy species variation","Female"
"dragonborn_female_wizard_varied_001.png","Wizard","Dragonborn","Fantasy species variation","Female"
"dragonborn_male_barbarian_varied_001.png","Barbarian","Dragonborn","Fantasy species variation","Male"
"dragonborn_male_bard_varied_001.png","Bard","Dragonborn","Fantasy species variation","Male"
"dragonborn_male_cleric_varied_001.png","Cleric","Dragonborn","Fantasy species variation","Male"
"dragonborn_male_druid_varied_001.png","Druid","Dragonborn","Fantasy species variation","Male"
"dragonborn_male_fighter_varied_001.png","Fighter","Dragonborn","Fantasy species variation","Male"
"dragonborn_male_monk_varied_001.png","Monk","Dragonborn","Fantasy species variation","Male"
"dragonborn_male_paladin_varied_001.png","Paladin","Dragonborn","Fantasy species variation","Male"
"dragonborn_nonbinary_barbarian_varied_001.png","Barbarian","Dragonborn","Fantasy species variation","Non-binary"
"dragonborn_nonbinary_bard_varied_001.png","Bard","Dragonborn","Fantasy species variation","Non-binary"
"dragonborn_nonbinary_cleric_varied_001.png","Cleric","Dragonborn","Fantasy species variation","Non-binary"
"dragonborn_nonbinary_druid_varied_001.png","Druid","Dragonborn","Fantasy species variation","Non-binary"
"dragonborn_nonbinary_fighter_varied_001.png","Fighter","Dragonborn","Fantasy species variation","Non-binary"
"dragonborn_nonbinary_monk_varied_001.png","Monk","Dragonborn","Fantasy species variation","Non-binary"
"dragonborn_nonbinary_ranger_varied_001.png","Ranger","Dragonborn","Fantasy species variation","Non-binary"
"dwarf_female_barbarian_south_asian_001.png","Barbarian","Dwarf","South Asian","Female"
"dwarf_female_bard_black_001.png","Bard","Dwarf","Black","Female"
"dwarf_female_bard_south_asian_001.png","Bard","Dwarf","South Asian","Female"
"dwarf_female_cleric_indigenous_american_001.png","Cleric","Dwarf","Indigenous American","Female"
"dwarf_female_druid_indigenous_american_001.png","Druid","Dwarf","Indigenous American","Female"
"dwarf_female_fighter_indigenous_american_001.png","Fighter","Dwarf","Indigenous American","Female"
"dwarf_female_monk_east_asian_001.png","Monk","Dwarf","East Asian","Female"
"dwarf_female_paladin_black_001.png","Paladin","Dwarf","Black","Female"
"dwarf_female_wizard_latino_001.png","Wizard","Dwarf","Latino","Female"
"dwarf_male_barbarian_mena_001.png","Barbarian","Dwarf","Middle Eastern / North African","Male"
"dwarf_male_bard_mena_001.png","Bard","Dwarf","Middle Eastern / North African","Male"
"dwarf_male_cleric_mena_001.png","Cleric","Dwarf","Middle Eastern / North African","Male"
"dwarf_male_druid_black_001.png","Druid","Dwarf","Black","Male"
"dwarf_male_druid_south_asian_001.png","Druid","Dwarf","South Asian","Male"
"dwarf_male_fighter_black_001.png","Fighter","Dwarf","Black","Male"
"dwarf_male_monk_black_001.png","Monk","Dwarf","Black","Male"
"dwarf_male_ranger_white_001.png","Ranger","Dwarf","White","Male"
"dwarf_nonbinary_barbarian_east_asian_001.png","Barbarian","Dwarf","East Asian","Non-binary"
"dwarf_nonbinary_bard_latino_001.png","Bard","Dwarf","Latino","Non-binary"
"dwarf_nonbinary_cleric_latino_001.png","Cleric","Dwarf","Latino","Non-binary"
"dwarf_nonbinary_cleric_mena_001.png","Cleric","Dwarf","Middle Eastern / North African","Non-binary"
"dwarf_nonbinary_druid_latino_001.png","Druid","Dwarf","Latino","Non-binary"
"dwarf_nonbinary_fighter_white_001.png","Fighter","Dwarf","White","Non-binary"
"dwarf_nonbinary_monk_white_001.png","Monk","Dwarf","White","Non-binary"
"dwarf_nonbinary_paladin_east_asian_001.png","Paladin","Dwarf","East Asian","Non-binary"
"dwarf_nonbinary_paladin_white_001.png","Paladin","Dwarf","White","Non-binary"
"dwarf_nonbinary_warlock_black_001.png","Warlock","Dwarf","Black","Non-binary"
"elf_female_barbarian_south_asian_001.png","Barbarian","Elf","South Asian","Female"
"elf_female_bard_east_asian_001.png","Bard","Elf","East Asian","Female"
"elf_female_bard_south_asian_001.png","Bard","Elf","South Asian","Female"
"elf_female_cleric_south_asian_001.png","Cleric","Elf","South Asian","Female"
"elf_female_druid_indigenous_american_001.png","Druid","Elf","Indigenous American","Female"
"elf_female_fighter_indigenous_american_001.png","Fighter","Elf","Indigenous American","Female"
"elf_female_monk_indigenous_american_001.png","Monk","Elf","Indigenous American","Female"
"elf_female_wizard_mena_001.png","Wizard","Elf","Middle Eastern / North African","Female"
"elf_male_barbarian_white_001.png","Barbarian","Elf","White","Male"
"elf_male_bard_mena_001.png","Bard","Elf","Middle Eastern / North African","Male"
"elf_male_cleric_mena_001.png","Cleric","Elf","Middle Eastern / North African","Male"
"elf_male_druid_indigenous_american_001.png","Druid","Elf","Indigenous American","Male"
"elf_male_druid_mena_001.png","Druid","Elf","Middle Eastern / North African","Male"
"elf_male_fighter_black_001.png","Fighter","Elf","Black","Male"
"elf_male_fighter_latino_001.png","Fighter","Elf","Latino","Male"
"elf_male_monk_black_001.png","Monk","Elf","Black","Male"
"elf_male_paladin_black_001.png","Paladin","Elf","Black","Male"
"elf_male_ranger_black_001.png","Ranger","Elf","Black","Male"
"elf_male_sorcerer_south_asian_001.png","Sorcerer","Elf","South Asian","Male"
"elf_nonbinary_barbarian_east_asian_001.png","Barbarian","Elf","East Asian","Non-binary"
"elf_nonbinary_bard_east_asian_001.png","Bard","Elf","East Asian","Non-binary"
"elf_nonbinary_cleric_latino_001.png","Cleric","Elf","Latino","Non-binary"
"elf_nonbinary_cleric_white_001.png","Cleric","Elf","White","Non-binary"
"elf_nonbinary_druid_latino_001.png","Druid","Elf","Latino","Non-binary"
"elf_nonbinary_fighter_latino_001.png","Fighter","Elf","Latino","Non-binary"
"elf_nonbinary_monk_white_001.png","Monk","Elf","White","Non-binary"
"elf_nonbinary_paladin_south_asian_001.png","Paladin","Elf","South Asian","Non-binary"
"gnome_female_barbarian_south_asian_001.png","Barbarian","Gnome","South Asian","Female"
"gnome_female_bard_indigenous_american_001.png","Bard","Gnome","Indigenous American","Female"
"gnome_female_bard_white_001.png","Bard","Gnome","White","Female"
"gnome_female_cleric_indigenous_american_001.png","Cleric","Gnome","Indigenous American","Female"
"gnome_female_druid_indigenous_american_001.png","Druid","Gnome","Indigenous American","Female"
"gnome_female_fighter_east_asian_001.png","Fighter","Gnome","East Asian","Female"
"gnome_female_fighter_south_asian_001.png","Fighter","Gnome","South Asian","Female"
"gnome_female_monk_east_asian_001.png","Monk","Gnome","East Asian","Female"
"gnome_female_paladin_east_asian_001.png","Paladin","Gnome","East Asian","Female"
"gnome_male_barbarian_mena_001.png","Barbarian","Gnome","Middle Eastern / North African","Male"
"gnome_male_bard_mena_001.png","Bard","Gnome","Middle Eastern / North African","Male"
"gnome_male_cleric_black_001.png","Cleric","Gnome","Black","Male"
"gnome_male_druid_black_001.png","Druid","Gnome","Black","Male"
"gnome_male_druid_east_asian_001.png","Druid","Gnome","East Asian","Male"
"gnome_male_fighter_black_001.png","Fighter","Gnome","Black","Male"
"gnome_male_monk_south_asian_001.png","Monk","Gnome","South Asian","Male"
"gnome_male_ranger_mena_001.png","Ranger","Gnome","Middle Eastern / North African","Male"
"gnome_nonbinary_barbarian_latino_001.png","Barbarian","Gnome","Latino","Non-binary"
"gnome_nonbinary_bard_latino_001.png","Bard","Gnome","Latino","Non-binary"
"gnome_nonbinary_cleric_latino_001.png","Cleric","Gnome","Latino","Non-binary"
"gnome_nonbinary_druid_white_001.png","Druid","Gnome","White","Non-binary"
"gnome_nonbinary_fighter_white_001.png","Fighter","Gnome","White","Non-binary"
"gnome_nonbinary_monk_white_001.png","Monk","Gnome","White","Non-binary"
"gnome_nonbinary_paladin_black_001.png","Paladin","Gnome","Black","Non-binary"
"gnome_nonbinary_warlock_black_001.png","Warlock","Gnome","Black","Non-binary"
"gnome_nonbinary_wizard_indigenous_american_001.png","Wizard","Gnome","Indigenous American","Non-binary"
"goliath_female_barbarian_varied_001.png","Barbarian","Goliath","Fantasy species variation","Female"
"goliath_female_bard_varied_001.png","Bard","Goliath","Fantasy species variation","Female"
"goliath_female_cleric_varied_001.png","Cleric","Goliath","Fantasy species variation","Female"
"goliath_female_druid_varied_001.png","Druid","Goliath","Fantasy species variation","Female"
"goliath_female_fighter_varied_001.png","Fighter","Goliath","Fantasy species variation","Female"
"goliath_female_monk_varied_001.png","Monk","Goliath","Fantasy species variation","Female"
"goliath_female_rogue_varied_001.png","Rogue","Goliath","Fantasy species variation","Female"
"goliath_male_barbarian_varied_001.png","Barbarian","Goliath","Fantasy species variation","Male"
"goliath_male_bard_varied_001.png","Bard","Goliath","Fantasy species variation","Male"
"goliath_male_cleric_varied_001.png","Cleric","Goliath","Fantasy species variation","Male"
"goliath_male_druid_varied_001.png","Druid","Goliath","Fantasy species variation","Male"
"goliath_male_fighter_varied_001.png","Fighter","Goliath","Fantasy species variation","Male"
"goliath_male_monk_varied_001.png","Monk","Goliath","Fantasy species variation","Male"
"goliath_male_paladin_varied_001.png","Paladin","Goliath","Fantasy species variation","Male"
"goliath_nonbinary_barbarian_varied_001.png","Barbarian","Goliath","Fantasy species variation","Non-binary"
"goliath_nonbinary_bard_varied_001.png","Bard","Goliath","Fantasy species variation","Non-binary"
"goliath_nonbinary_cleric_varied_001.png","Cleric","Goliath","Fantasy species variation","Non-binary"
"goliath_nonbinary_druid_varied_001.png","Druid","Goliath","Fantasy species variation","Non-binary"
"goliath_nonbinary_fighter_varied_001.png","Fighter","Goliath","Fantasy species variation","Non-binary"
"goliath_nonbinary_monk_varied_001.png","Monk","Goliath","Fantasy species variation","Non-binary"
"goliath_nonbinary_paladin_varied_001.png","Paladin","Goliath","Fantasy species variation","Non-binary"
"halfling_female_barbarian_varied_001.png","Barbarian","Halfling","Fantasy species variation","Female"
"halfling_female_bard_varied_001.png","Bard","Halfling","Fantasy species variation","Female"
"halfling_female_cleric_varied_001.png","Cleric","Halfling","Fantasy species variation","Female"
"halfling_female_druid_varied_001.png","Druid","Halfling","Fantasy species variation","Female"
"halfling_female_fighter_varied_001.png","Fighter","Halfling","Fantasy species variation","Female"
"halfling_female_monk_varied_001.png","Monk","Halfling","Fantasy species variation","Female"
"halfling_female_paladin_varied_001.png","Paladin","Halfling","Fantasy species variation","Female"
"halfling_male_barbarian_varied_001.png","Barbarian","Halfling","Fantasy species variation","Male"
