# CBODY.DAX base ID, then complete look ID. Edit with demos/godot/scenes/combat_body_review.tscn.
0	unarmed
1	bow
2	sword
3	unreviewed
4	mace_shield
5	unreviewed
6	dagger
7	mace
8	unreviewed
9	unreviewed
10	unreviewed
11	unreviewed
12	unreviewed
13	unreviewed
14	unreviewed
15	unreviewed
16	unreviewed
17	unreviewed
18	unreviewed
19	unreviewed
20	sword_shield
21	unarmed_shield
22	dagger_shield
23	unreviewed
24	unreviewed
25	unreviewed
26	staff_shield
27	unreviewed
28	staff
29	unreviewed
30	unreviewed
31	unreviewed
